,Location,phone,address,ip,webisite
0,九份,02-2406-3270(九份遊客中心),新北市瑞芳區基山街、輕便路、汽車路、豎崎路一帶,121.84345/25.109808,https://tour.ntpc.gov.tw/zh-tw/Attraction/Detail?wnd_id=60&id=109990
1,淡水,02-2622-1020,新北市淡水區中正路,121.43895/25.171038,https://tour.ntpc.gov.tw/zh-tw/Attraction/Detail?wnd_id=60&id=109658
2,士林夜市,02-2882-0340,臺北市士林區大東路、大南路、文林路、基河路,121.52440/25.088628,https://www.travel.taipei/zh-tw/attraction/details/1536
3,野柳地質公園,02-24922016(野柳遊客中心),新北市萬里區港東路167-1號,121.68992/25.205290,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002756
4,旗津,07-799-5678,高雄市旗津區海岸路10號,120.26948/22.614194,http://khh.travel/ScenicListByDistrict.aspx?a=1057&l=1#District_12
5,陽明山國家公園,(02)2861-3601,臺北市北投區陽明山竹子湖路1-20號,121.54774/25.15579,https://www.ymsnp.gov.tw/
6,烏來,02-2661-6355(烏來遊客中心),新北市烏來區瀑布路34號,121.55178/24.848795,https://tour.ntpc.gov.tw/zh-tw/Attraction/Detail?wnd_id=60&id=110625
7,西子灣,07-799-5678(高雄市政府觀光局),高雄市鼓山區蓮海路,120.26385/22.626054,http://khh.travel/Article.aspx?a=6443&l=1
8,國立故宮博物院,(02)2881-2021,臺北市士林區至善路二段221號,121.54987/25.099917,https://www.npm.gov.tw/
9,臺北龍山寺,02-2302-5162,臺北市萬華區廣州街211號,121.50004/25.036846,http://www.lungshan.org.tw
10,蓮池潭,07-799-5678(高雄市政府觀光局),高雄市左營區蓮潭路,120.29538/22.685468,http://khh.travel/Article.aspx?a=6891&l=1
11,饒河街觀光夜市,(02)2763-5733,臺北市松山區饒河街,121.57765/25.050924,https://www.travel.taipei/zh-tw/attraction/details/1538
12,高美濕地,04-2656-5810(高美濕地旅遊網),臺中市清水區大甲溪出海口,120.54981/24.312108,https://travel.taichung.gov.tw/zh-tw/Attractions/Intro/54/
13,田寮月世界,07-6367036,高雄市田寮區月球路36號,120.38899/22.885348,https://khh.travel/Article.aspx?a=6439&l=1
14,日月潭國家風景區-向山遊客中心,(049)285-5668,南投縣魚池鄉中山路599號,120.90216/23.851144,https://www.sunmoonlake.gov.tw/zh-tw/
15,十分風景特定區,02-2495-8409(十分遊客中心),新北市平溪區十分風景特定區,121.78156/25.04459,https://tour.ntpc.gov.tw/zh-tw/Attraction/Detail?wnd_id=60&id=111423
