Location,test_text
九份,"文化歷史 
九份隸屬新北市瑞芳區，相傳在陸路尚未開通之時，一切物資供給仰賴海路進行，由於村落中只有九戶人家，故對外採買時皆要求備妥「九份」，久而久之，人們便以此命名。九份之發展過程可謂一段先民採金史，隨採金人潮的湧入而繁華，又隨採金事業的沒落而褪色。約略西元1890年左右，居民在福山宮土地祠距小金瓜不遠處掘到金脈，這使得原本只有九戶人家的貧窮村落，頓時聚集了三、四千戶的淘金人口，此為九份的第一次繁華。日治時代，大量的黃金被輸往日本，致使九份產金量達到顛峰。三○年代，隨著金價上漲締造了「亞洲金都」繁華絢麗的輝煌盛況，當時由海上遙望九份聚落，燈火燦爛，時人稱之為「小上海」、「小香港」。臺灣光復之後，金礦因前期的開採殆盡，產量大幅下滑，終在缺乏開採價值與經營不善之下而結束，採金事業也因此走入歷史滄桑中。曾幾何時，隨著電影「悲情城市」一片在威尼斯影展中造成轟動之後，這個沒落數十載的小城，又三度勾起了人們的注視與回憶。昔日繁華的老街、廢棄的礦坑、自成一格的礦區風光與淘金史，經由媒體的一再傳播，吸引了四方尋找靈感的藝術家尋蹤到此，嚮往復古的遊客也大量前來緬懷思古、細細品味這悲情城市中的有情天地。四季風情
同時擁有高山屏障與遼闊海景的九份，除了有首屈一指的山海風光，春夏秋冬晴雨晨昏日夜景致各具物色。區內任何面海窗戶、陽臺、門口埕等地，均可欣賞到不同季節、相異時段的自然景觀、青鬱尖聳的「雞籠山」與開闊碧藍的港灣海濱。「春櫻花、夏清風、秋芒花、冬雲霧」為九份美麗多變之四季容顏最佳寫照。春日踏青，臺陽公司瑞芳礦場辦事處與福山宮前埕，幾叢櫻花迎面展姿。夏日山嵐清風，溫差效應造成日吹山風、夜吹海風，令人暑氣全消。晚秋時分芒花抽穗，隨著東北季風吹拂，一波波白芒如浪潮般在山巒間浪漫搖曳，駐足頌德公園上方涼亭、大竿林、雞籠山及往雙溪的102縣道上，感受款款詩意。冬日霪雨連綿，細雨中石階兀自流著瀑布般的水流，寒意襲人的繚繞霧氣，為九份增添幾許若隱若現的另一種冷清、蕭瑟面貌。白天若無雲霧瀰漫，海上一片清朗蔚藍，可遠眺層層的海浪；入夜後，海面上漁火點點，更襯托出山城夜晚的寧靜。其它諸如坐看日出雲起、晚霞滿天、觀星賞月...，均令人動容，難以忘懷。金瓜石，60年代以後，隨著礦脈枯竭，採金的事業雙雙走入歷史，留下的礦場景觀在70年代末期隨著懷舊風潮吹起，反而成為觀光熱門地。"
淡水,淡水，是一個充滿歷史的小鎮。位處臺北盆地淡水河系出口，扼守北臺灣大門，西元1858年開港通商，是臺灣北部最早開發的港口，境內除淡水河口狹小平原外，泰半為大屯山陵所被覆。今日的淡水區，舊名「滬尾」，而「淡水」則是一個總稱，泛指淡水河流域一帶，甚至是整個北臺灣。關於「滬尾」這個名稱的緣由，有兩種說法：一說是原居於此的凱達格蘭族語之音譯；一說認為淡水從前有許多捕魚的石滬，在石滬尾端的村莊自然就叫「滬尾」了。而隨著港口的日漸發展，「淡水」的名稱也逐漸取代了「滬尾」。商旅船舶的熱絡景象雖已不再，但走在淡水街道上，一座座洋式、閩式、日式的舊建築，彷彿都在訴說著小鎮的悠悠往事--從西元1629年西班牙人進佔、西元1642年荷蘭人入侵，歷經清政府的統治，以及日治時代的歷史舊事。拜訪淡水，徒步悠遊是不錯的賞玩方式，中正路、真理街、重建街、三民街、清水街一帶，最能展現老街古風及各時期建築特色。遊客可搭乘往返淡水、八里及淡水、大稻埕間的渡輪，淡水河風情，盡收眼底。一般所說的淡水老街，泛指中正路一帶（從渡船碼頭附近到與中山路交會口路段），含其周圍鄰接之三民街、重建街等。老街上零星可見一些局部保留舊建築趣味的屋舍，加上古董藝品店林立，更顯其古樸風味。沿街可欣賞精雕細琢的石藝、木雕作品，店家細心收藏多年的古董文物，飄逸優雅的詩詞字畫，以及各色裝飾藝品。看河、觀山、坐船，古老的遊趣一直延伸到現在，因有淡水河、渡船頭、漁人碼頭等景點，加上捷運的便利，讓淡水老街的魅力無人能擋。
士林夜市,士林夜市為臺北市最具規模的夜市之一，以陽明戲院及慈誠宮為中心，包含了文林路、大東路、大南路等熱鬧街市集結而成，其中士林市場早在民國前二年即已興建，以各種傳統小吃聞名國內外，許多觀光客皆慕名而來，像是大餅包小餅、石頭火鍋或是士林大香腸等，更是已經成為美食地標，無人不曉。由於夜市鄰近許多學區，故以學生為主要的消費族群，價格也比一般商店便宜許多，例如家具、衣飾、相片沖印店或寵物用品等，都有其集散的區域，『情人巷』中的精品店與冰店，更是吸引了不少當地學子以外的顧客前往。士林夜市所含範圍極廣，在曲折巷弄內行走，常有柳暗花明又一村的驚喜，週末假日時前往，更是人山人海，擠得水洩不通，常見一家大小提著大包小包剛採買的日用品，嘴裡還塞著美味小吃，滿足之情溢於言表。
野柳地質公園,「野柳」為大屯山餘脈伸出海中的岬角，從金山遠眺，猶如潛入海中的巨龜，故又名為「野柳龜」。其因波浪侵蝕、岩石風化及地殼運動等作用，造就了海蝕洞溝、燭狀石、蕈狀岩、豆腐石、蜂窩石、壺穴、溶蝕盤等各種奇特景觀。女王頭、仙女鞋、燭臺石等，更是聞名國際的海蝕奇觀。區內的林添禎塑像是紀念其當年捨身救人的英勇事蹟。燭臺石的「燭火」其實是岩層裡堅硬的球形結核，因較能抵抗海蝕，而露出錐形頂部，海水沿其邊緣迴流激盪，產生環狀溝槽，由於結核外圍有一帶堅硬的環圈，海水便順此環圈向下侵蝕、切割，形成圓錐狀外形，真可謂鬼斧神工之佳作。所以「野柳」不但是臺灣著名的觀光遊憩據點，更是一處地質地形景觀豐富的教室，值得我們細究觀賞，相信在您觀賞之後，不得不讚嘆大自然之偉大神奇了！
旗津,"旗津舊名旗後，為一個狹長形的島，往旗津有兩種選擇，一是搭乘渡船，一是驅車穿過過港隧道。旗津雖小，卻有多樣吸引人的去處，在廟前路的天后宮，有三百年歷史；身著唐裝的三輪車伕，是島上另一個觀光焦點，旗津老街上，綿延清一色海產店，價廉味美的新鮮海產，露天下大快朵頤，十分暢快。旗後砲台
旗後砲台最大的特色在於中國風格的營區建築，中國式的八字門八字牆，門楣上的「威震天南」，牆上磚砌相對的囍字，角落搭配蝙蝠刻紋，壁面、階梯面的許多傳統建築花樣，都值得令人細細品味。旗後燈塔
旗後燈塔底層為文藝復興後期的巴洛克建築，主體後方則是八角形磚塔。塔區的視野景觀優良，可俯瞰整個高雄港灣美景。旗津天后宮
旗津天后宮主要供奉媽祖，當地民眾又稱為媽祖廟或媽祖宮，廟內全年香火鼎盛，因是高雄市第一座媽祖廟，於民國68年（西元1979年）經政府核定為古蹟。旗津海產街
旗津四面環海，漁獲豐富，造就了專賣海產的店家，除了旗津渡輪站前的廟前街海鮮店、海水浴場前的海產攤生意興隆外，開車從旗津路到過港隧道沿途，隔幾步路就有海鮮店老闆向您招手吆喝進店消費。陽明高雄海洋探索館
陽明高雄海洋探索館的建築外觀採船型意象，象徵自由與開放，一樓展示200多件具歷史性、通識性及趣味性等海洋文物與生物，以高雄海洋發展、近代海洋產業發展及航海文化三大主軸演釋。二樓遠眺城市天際線，一覽高雄港全貌，是民眾親近海洋、認識海洋與體驗海洋的最佳場域。旗津海岸公園
高雄市政府為了因應旗津特有的地理特質所規劃開發，其設計以觀賞海洋水文景觀為主，並設置步道貫穿整個公園，依序規劃為海水浴場、觀海景觀步道、越野區、自然生態等四種不同型態設計，展現多元的觀光遊憩功能。旗津海岸公園遊客服務中心貝殼館
遊客服務中心建築採白色、灰藍、淺藍三色系搭配，與海空顏色自然協調。二樓是東南亞最大的貝殼館，由高雄市民黃葛亮捐獻多年珍藏，近2000種臺灣常見的貝殼鉅細靡遺的羅列在陳列箱中，收藏規模堪稱國內最大，整座貝殼館讓人大開眼界。"
陽明山國家公園,"陽明山國家公園緊臨臺北都會區，全區以大屯火山群彙為主，面積約11,338公頃，由內政部營建署陽明山國家公園管理處管理，因火山活動造成的錐狀與鐘狀火山體、火口湖、硫氣孔、地熱與溫泉，具有研究及娛樂價值，受季風影響，植物相兼具高草原、矮草原、闊葉樹林、亞熱帶雨林與水生植物群落，孕育臺灣水韭、大屯杜鵑、蝴蝶與鳥類，陽明山公園栽植的櫻花及杜鵑，使本區成為臺北近郊最吸引人的賞花場所。陽明山國家公園因受緯度及海拔之影響，氣候分屬亞熱帶氣候區與溫帶氣候區。春季二、三月是陽明公園傳統的花季，色彩繽紛的各種杜鵑與滿山遍野的緋寒櫻，吸引大批賞花人潮，讓陽明山的初春更顯生氣蓬勃。夏季景色則因西南季風的吹拂、午後雷陣雨的影響，霧雨初晴時，常可在山區覓得「虹橋跨立山谷」的景緻。而當秋天來時，芒草展現隨風搖曳的花海；楓紅點綴枝頭，樹葉片片金黃，交織成一幅盛名遠播的「大屯秋色」；冬季的陽明山則因受東北季風影響，山區經常寒風細雨，低溫高濕，雲霧瀰漫。若遇強烈寒流來襲，七星山、竹子山、大屯山一帶偶可見白雪紛飛，成為瑞雪覆蓋的銀白世界。此外，以大屯火山群為主體的陽明山國家公園，是我國主要的火山分佈區，地質構造多屬安山岩；外型特殊的錐狀或鐘狀火山體及火山口、火口湖，構成本區獨特的地質地形景觀。區內的大、小油坑、馬槽、大磺嘴等地，都可見到強烈的噴氣孔活動；而分佈於園區內的多處溫泉區，更早已遠近馳名。"
烏來,烏來是臺灣北部著名的山地鄉，位於水源保護區，居民以泰雅族居多，南勢溪和桶後溪交流處，此處兩側山峰高聳，溪流蜿蜒而過，形成峻秀的山水奇景，以溫泉、臺車、瀑布和雲仙樂園等聞名。相傳『烏來』一詞原為泰雅族原住民的用語，意思是「溫泉」，所以當地的溫泉也相當有名，泉質為弱鹼性碳酸泉，清徹透明。著名的烏來瀑布，瀑高約80公尺，如白練凌空，聲勢浩大。此外觀光台車亦為烏來的特色之一，原用以運輸林木為主，現為遊客登山遊覽之交通工具，瀑布對面山麓的山地文化村為原住民民俗文物館改建而成，介紹泰雅族原住民文化及風俗習慣，並展示昔日原住民文物，原住民歌舞表演更是文化村內的重頭戲。賞遊烏來，彷如進入世外桃源、人間仙境，是觀光休閒的最佳去處。
西子灣,西子灣位於高雄市西側，壽山西南端山麓下，北瀕萬壽山，南臨旗津半島，為一黃澄碧藍的海水浴場，是一處以夕陽美景及天然礁石聞名的灣澳。距市中心車程約20分鐘，依山臨海，風景宜人，每當夜幕低垂，將大海點綴的瑰麗可人，漁船燈火閃爍其間；西子灣的夕陽是高雄八景之一，海天一色的美景，美不勝收，黃昏時分，常可見一對對情侶在此互道情愫，更有詩情畫意的情境。中山大學就座落於西子灣風景區內，倚著壽山，傍西子灣，校園內草木蓊鬱、花團錦簇，校舍美輪美奐，是一座美麗的大學。由中山大學左方的旅客服務中心即可進入西子灣海水浴場，夏日總是有成群結隊的遊客到此戲潮、游泳，熱鬧非凡。
國立故宮博物院,故宮收藏的文物珍寶，是舉世聞名的文化資產，從帝王收藏到全民共有，傳承有序的國立故宮博物院典藏，其收藏品的年代幾乎囊括了整個中華文化五千餘年未曾中斷的歷史，在世界文明史上獨一無二。博物院內60多萬件收藏品中，大多數是昔日中國皇室的收集品，皇室的收藏則始自1000多年前的宋朝。隨著數位科技廣泛應用在博物館的展覽或硬體設備，歷時三年的正館改建工程，於2007年2月改建完工後的新故宮，除了提供煥然一新的展覽手法之外，也增建了數位學習空間，如數位導覽大廳、多媒體放映室、多媒體兒童學習區等，同時持續推動「數位典藏」、「數位博物館」以及「數位學習」等計畫，營造一個無圍牆的博物館。而多樣化的餐飲服務、電影院以及文化商店等等，讓遊客不僅可以參觀古文物、欣賞新藝術，甚至為約會地點，視故宮為生活的一部份。承先啟後，再造新局，改建完工的故宮不僅代表華夏歷史的傳承，展望未來更是與當代社會文化脈絡連結的新起點。張大千先生紀念館 一樓會客廳陳設典雅大方，牆上懸有民國71年所得中正勳章，以及和中西兩大畫家溥心畬、畢卡索的合照。緊鄰會客廳的是大畫室，先生蠟像正揮毫作畫，栩栩如生。四壁懸掛紀念性如敦煌石窟前的留影，兄長照片和母親、老師的書畫作品等。後有小會客室，為張夫人接待女賓之所，放置奇石彰顯先生愛石之癖。又先生為知名美食家，餐廳懸掛「賓筵食帖」，書寫宴請嘉賓的菜單，頗有生活情趣。二樓裱畫室因先生考究裝裱所設，聘請師傅前來裱褙。另有小畫室陳設簡潔，應是先生悠閒創作小幅作品之所。壁上掛鐘停在上午八時一刻，乃為紀念先生辭世的時刻而設定。
臺北龍山寺,艋舺（今萬華）是臺北市開發最早的地方，而臺北第一名剎─龍山寺，就是當地居民信仰、活動、集會和指揮的中心。據說以前有一個人把佩帶的觀音菩薩香火，遺掛在一棵大榕樹上，到了夜晚竟然發出光芒。更奇怪的是有求必應，非常靈驗。所以信徒就在那個地方建立龍山寺，從西元1738年（清乾隆3年）開始，到1740年落成。二百多年來，龍山寺經過多次的修建，整個結構是完整「回」字形，在傳統的寺廟建築中，是一種非常尊貴的佈局。在廣場上，可注意地板石材，其中切割較不整齊的部分，已有古老的歷史。前臺灣海峽又叫「黑水溝」，風浪很大，移民都用石板來壓穩船艙，以能安全渡海來臺，而這些石板，後來也就用來舖設龍山寺前的部分廣場。再來，就可從前殿開始欣賞。首先，可以看到殿前有1918年所製臺灣獨一無二的銅鑄龍柱，屋簷下的木雕、彩繪，也都非常生動。尤其用來支撐屋頂的「網目斗拱」，是臺灣寺廟的首次創作。另外，大門左邊的石雕窗上，雕有精彩的三國演義故事；右面則有一個八角竹節窗，上刻竹幹，是「竹報平安」的意思。由於正門只有節慶祭典時才打開，所以平時都從廟宇左邊的門進入，右邊的門出來。進到廟裡，可看到很多善男信女虔誠祭拜、誦經唸文。出了前殿，在天井上有一個香爐，香爐上「憨番抬廟角」的有趣雕塑。天井兩旁還有鐘樓和鼓樓，早上敲鐘、晚上擊鼓，來作為誦經、法會的提醒。從石階上正殿，正殿四面有一道走廊，廊上的壁面、石柱都有精巧的石雕作品，值得仔細觀賞。進了正殿，可以看到主神──觀世音菩薩。在第二次世界大戰中，龍山寺正殿曾被炮火擊中，殿堂全毀，但此神像卻絲毫無損，所以讓信徒更加敬拜。來到後殿和左、右翼殿，會看到很多的神佛，有人說「龍山寺是眾神的聚會所」，就是說廟內供奉神佛非常多，號稱主、附神的有一百多尊，這裡可注意後殿殿前的一對人物石柱，造形生動，和一般寺廟以「龍」為題材的石柱不同。此外，左、右殿入口外側的壁面，有「紅毛番吹法螺」的石雕，也和香爐上「憨番抬廟角」有相同的趣味性。龍山寺不僅典藏許多藝術珍品，而且一年中有多次節慶，都非常熱鬧，不妨前來開開眼界。
